Name,Image_URL
Fury Sliver,https://cards.scryfall.io/normal/front/0/0/0000579f-7b35-4ed3-b44c-db2a538066fe.jpg?1562894979
Kor Outfitter,https://cards.scryfall.io/normal/front/0/0/00006596-1166-4a79-8443-ca9f82e6db4e.jpg?1562609251
Spirit,https://cards.scryfall.io/normal/front/0/0/0000a54c-a511-4925-92dc-01b937f9afad.jpg?1562701869
Siren Lookout,https://cards.scryfall.io/normal/front/0/0/0000cd57-91fe-411f-b798-646e965eec37.jpg?1562549609
Web,https://cards.scryfall.io/normal/front/0/0/00012bd8-ed68-4978-a22d-f450c8a6e048.jpg?1559596693
Obyra's Attendants // Desperate Parry,https://cards.scryfall.io/normal/front/0/0/0001e77a-7fff-49d2-a55c-42f6fdf6db08.jpg?1692937199
Venerable Knight,https://cards.scryfall.io/normal/front/0/0/0001f1ef-b957-4a55-b47f-14839cdbab6f.jpg?1572489814
Wildcall,https://cards.scryfall.io/normal/front/0/0/00020b05-ecb9-4603-8cc1-8cfa7a14befc.jpg?1562633475
Mystic Skyfish,https://cards.scryfall.io/normal/front/0/0/0002ab72-834b-4c81-82b1-0d2760ea96b0.jpg?1596250027
Swamp,https://cards.scryfall.io/normal/front/0/0/00030770-5e99-4943-819d-8d807c24cc14.jpg?1600716281
Battlewing Mystic,https://cards.scryfall.io/normal/front/0/0/000376ef-8b6c-490d-98cb-d6de15b2e585.jpg?1673306662
Birds of Paradise,https://cards.scryfall.io/normal/front/0/0/0003aa31-d42e-4972-9fb9-086aefe29a2c.jpg?1675536851
Bronze Horse,https://cards.scryfall.io/normal/front/0/0/0003b07e-0d6e-4844-93c7-3f1f6a7d8c4d.jpg?1562894975
Wall of Vipers,https://cards.scryfall.io/normal/front/0/0/00042443-4d4e-4087-b4e5-5e781e7cc5fa.jpg?1562894988
Admiral Beckett Brass,https://cards.scryfall.io/normal/front/0/0/0004311b-646a-4df8-a4b4-9171642e9ef4.jpg?1651796654
Mulch,https://cards.scryfall.io/normal/front/0/0/0005968a-8708-441b-b9a1-9373aeb8114d.jpg?1562700539
Whiptongue Hydra,https://cards.scryfall.io/normal/front/0/0/0005c844-787c-4f0c-8d25-85cec151642b.jpg?1592710235
Wall of Roots,https://cards.scryfall.io/normal/front/0/0/000619be-f2b4-407d-a76c-7245d8cab7bd.jpg?1562164455
War Historian,https://cards.scryfall.io/normal/front/0/0/0007efdf-417d-48a7-b119-3a2fda3e1158.jpg?1682205143
Siren's Call,https://cards.scryfall.io/normal/front/0/0/000809e6-2dd5-41cc-a316-3edb4e40eb58.jpg?1559591503
Mystical Tutor,https://cards.scryfall.io/normal/front/0/0/000a5154-90ba-459e-b122-d6893dfdb56f.jpg?1682714072
Essence Warden,https://cards.scryfall.io/normal/front/0/0/000a7263-37e6-4246-82f9-94459517a5cc.jpg?1681087427
Blood Operative,https://cards.scryfall.io/normal/front/0/0/000ac9e5-3c95-4e87-9424-109e2eea6b45.jpg?1572892902
Selvala's Enforcer,https://cards.scryfall.io/normal/front/0/0/000ba9c3-cd88-47c1-966a-00466569a9bf.jpg?1562864254
Fresh Meat,https://cards.scryfall.io/normal/front/0/0/000ce65b-5347-4a88-81af-be9053e4d3f3.jpg?1562875106
Orzhov Guildgate,https://cards.scryfall.io/normal/front/0/0/000d609c-deb7-4bd7-9c1d-e20fb3ed4f5f.jpg?1561813417
Mortify,https://cards.scryfall.io/normal/front/0/0/000d913b-adc4-4075-83d9-4a510280c91e.jpg?1686966266
"Narset, Parter of Veils",https://cards.scryfall.io/normal/front/0/0/000db964-719d-4532-9225-35658565b35d.jpg?1666939107
Paradise Druid,https://cards.scryfall.io/normal/front/0/0/000e2f80-7667-4a8b-91c2-359121d44ebb.jpg?1692935557
Run Away Together,https://cards.scryfall.io/normal/front/0/0/000e88ab-f673-4822-bccb-a744f61060ef.jpg?1692935235
Sinew Sliver,https://cards.scryfall.io/normal/front/0/0/000edc61-b3ae-49e3-87f4-0250fa6a4501.jpg?1619393551
Charge,https://cards.scryfall.io/normal/front/0/0/000eded9-854c-408a-aadf-c26209e27432.jpg?1562730460
Island,https://cards.scryfall.io/normal/front/0/0/000f1f50-08e5-4d83-8159-98f06a0e2279.jpg?1572491305
Novice Knight,https://cards.scryfall.io/normal/front/0/0/00101358-0e89-4bd1-b1f2-e889645b616e.jpg?1562300243
Fallen Askari,https://cards.scryfall.io/normal/front/0/0/00107210-313f-49c1-84ff-92628f75b764.jpg?1562276948
Altar's Reap,https://cards.scryfall.io/normal/front/0/0/00108a1c-e620-4124-9b31-3bb3ff2a0407.jpg?1573508916
"Odric, Master Tactician",https://cards.scryfall.io/normal/front/0/0/00111afb-26fe-487b-8d12-087cd8a8fe86.jpg?1591320115
Afflict,https://cards.scryfall.io/normal/front/0/0/0012621b-c0e1-48d6-99b9-ecca4763d748.jpg?1562895004
Crown of Gondor,https://cards.scryfall.io/normal/front/0/0/00127acd-a284-4bc8-bdfa-895914e3cd49.jpg?1686964410
Invisible Stalker,https://cards.scryfall.io/normal/front/0/0/0013620d-8e17-4246-86bf-71eafd51b806.jpg?1562825313
"Dakkon, Shadow Slayer",https://cards.scryfall.io/normal/front/0/0/0013a9c4-77a1-418d-85c2-bd68b65cd3d4.jpg?1626098233
Shahrazad,https://cards.scryfall.io/normal/front/0/0/0014def3-4063-4929-ac51-76aef1bb2a68.jpg?1562895012
Destructive Tampering,https://cards.scryfall.io/normal/front/0/0/00154b70-57d2-4c32-860f-1c36fc49b10c.jpg?1576381772
Mox Jet,https://cards.scryfall.io/normal/front/0/0/0015d273-5f49-4154-9bd1-d3aef62d1c73.jpg?1664929372
Harmonize,https://cards.scryfall.io/normal/front/0/0/0015ef55-4b85-4147-9974-b3ff4a1487c3.jpg?1591320837
Nocturnal Raid,https://cards.scryfall.io/normal/front/0/0/0015fee8-068a-421e-9143-bcb575371f9a.jpg?1562717466
Temporal Manipulation,https://cards.scryfall.io/normal/front/0/0/0016ea50-4f77-4814-a505-8067ecb177cc.jpg?1682694313
Archon of the Wild Rose,https://cards.scryfall.io/normal/front/0/0/00174be7-0dc8-43b9-81b6-f25a8c3fb4eb.jpg?1692936281
Vaevictis Asmadi,https://cards.scryfall.io/normal/front/0/0/00177fcf-92af-475a-a7f5-11ab645388a5.jpg?1562894998
Flensermite,https://cards.scryfall.io/normal/front/0/0/0017de60-ee1c-4675-b04e-cdfa2c2a596e.jpg?1562609238
Triskelion,https://cards.scryfall.io/normal/front/0/0/0017e784-5f71-4f7a-aed5-2ceff2cac18b.jpg?1583453177
Rite of the Raging Storm,https://cards.scryfall.io/normal/front/0/0/0018e4ea-8c46-4bb0-ade1-6b2a4f67c471.jpg?1673484403
"Gorion, Wise Mentor",https://cards.scryfall.io/normal/front/0/0/001c648a-db66-47f3-8fee-3658b9e76ac2.jpg?1674137521
Wolf,https://cards.scryfall.io/normal/front/0/0/001cc57e-f3fc-4790-a9e5-171b2e3e8739.jpg?1675457505
Gate Smasher,https://cards.scryfall.io/normal/front/0/0/001e8222-8dea-4767-8c13-21fb7ba556d7.jpg?1562781756
Kemba's Outfitter,https://cards.scryfall.io/normal/front/0/0/001f2658-9631-4ae8-a83b-3e922e243481.jpg?1684523721
World Breaker,https://cards.scryfall.io/normal/front/0/0/0020a124-ba76-4d40-84e9-9803268d9f16.jpg?1562895014
Rogue Kavu,https://cards.scryfall.io/normal/front/0/0/0020bf27-8160-4aaa-a321-29c8f43d2624.jpg?1675829371
Mad Auntie,https://cards.scryfall.io/normal/front/0/0/00215182-51bd-4c7e-9675-179749a25a07.jpg?1561965987
Coral Eel,https://cards.scryfall.io/normal/front/0/0/00223901-d462-41b0-9749-b093058f682f.jpg?1562730475
Invasion of Tolvada // The Broken Sky,
Lurking Nightstalker,https://cards.scryfall.io/normal/front/0/0/002715a3-b84f-40ba-8fa9-6b2854626f4d.jpg?1562895018
Spark Spray,https://cards.scryfall.io/normal/front/0/0/0027e323-4f5a-412b-868d-6fb3a0c8050a.jpg?1562895016
Remand,https://cards.scryfall.io/normal/front/0/0/0027e5ca-8046-40a0-bd73-79be55f28bff.jpg?1592754515
Plains,https://cards.scryfall.io/normal/front/0/0/00293ce4-3475-4064-8510-9e8c02faf3bf.jpg?1592674050
"Edric, Spymaster of Trest",https://cards.scryfall.io/normal/front/0/0/0029955b-32a5-4dd8-8a8c-5c80cdfd13aa.jpg?1562864258
Clearwater Pathway // Clearwater Pathway,
Crossbow Infantry,https://cards.scryfall.io/normal/front/0/0/002b75fc-c4ba-40fa-9758-8a550e68043b.jpg?1675829094
Bubbling Beebles,https://cards.scryfall.io/normal/front/0/0/002cf7d8-3fc2-48eb-a727-a1ce5a049665.jpg?1562443310
Second Breakfast,https://cards.scryfall.io/normal/front/0/0/002f647a-25f8-461b-8617-52674f5d577c.jpg?1686967911
"Ulasht, the Hate Seed",https://cards.scryfall.io/normal/front/0/0/002fe870-eae5-42cc-a44c-32906f60719e.jpg?1673149236
Unholy Strength,https://cards.scryfall.io/normal/front/0/0/0030407c-9aa0-49ad-b2d6-cde0adbd9d09.jpg?1562231343
Forest,https://cards.scryfall.io/normal/front/0/0/0031d026-9e9a-46f6-8204-1acfee8b8809.jpg?1561894880
Consecrate // Consume,https://cards.scryfall.io/normal/front/0/0/00320106-ce51-46a9-b0f9-79b3baf4e505.jpg?1584832033
Thornwood Falls,https://cards.scryfall.io/normal/front/0/0/00323a16-8bfd-49af-b073-8f0b23a9d947.jpg?1580015367
Goblin Bowling Team,https://cards.scryfall.io/normal/front/0/0/00325992-ec1c-469a-8df0-ffb9a197d221.jpg?1562799056
Elvish Aberration,https://cards.scryfall.io/normal/front/0/0/0032a2ab-a385-47e4-843b-1ac677032dc4.jpg?1561756565
"Farid, Enterprising Salvager",https://cards.scryfall.io/normal/front/0/0/003367c7-6cb8-4451-8349-76ce5d21e367.jpg?1688125556
Wings of Aesthir,https://cards.scryfall.io/normal/front/0/0/00341664-d848-44d2-ba06-21a6ae8e6788.jpg?1562867376
Mwonvuli Beast Tracker,https://cards.scryfall.io/normal/front/0/0/0034d32c-cc82-48d7-a913-d58cc3d3afeb.jpg?1591694417
Return to Dust,https://cards.scryfall.io/normal/front/0/0/0034ed95-a296-44c1-a084-e03c57c1865f.jpg?1631234174
Royal Assassin,https://cards.scryfall.io/normal/front/0/0/0035cade-d84c-4978-8c9f-560893f07c27.jpg?1675201829
Shock,https://cards.scryfall.io/normal/front/0/0/00365412-41db-427c-9109-8f69c17c326d.jpg?1576381909
Eldrazi Temple,https://cards.scryfall.io/normal/front/0/0/00372c7a-2e83-4a26-9642-0d092dfcf861.jpg?1682690583
Walk the Plank,https://cards.scryfall.io/normal/front/0/0/0038ac6a-318f-44fb-bb64-7ae172c4aca3.jpg?1562549640
Sphinx's Revelation,https://cards.scryfall.io/normal/front/0/0/0038ea4d-d0a6-44a4-bee6-24c03313d2bc.jpg?1593814610
Mise,https://cards.scryfall.io/normal/front/0/0/0039b1f3-6bcd-4578-af5b-e13fb2036ef2.jpg?1657341522
Kor Entanglers,https://cards.scryfall.io/normal/front/0/0/0039ead5-2afa-49d6-ae4a-45ae2118188a.jpg?1562895068
Briarbridge Patrol,https://cards.scryfall.io/normal/front/0/0/003b5fe1-4e9e-49ae-9af4-04eefb96398f.jpg?1678945164
The Restoration of Eiganjo // Architect of Restoration,
Spread the Sickness,https://cards.scryfall.io/normal/front/0/0/003bc8f1-f282-491c-984d-1ce7ac027053.jpg?1562258478
"Izoni, Thousand-Eyed",https://cards.scryfall.io/normal/front/0/0/003c6e4d-16f4-4ce8-9df2-a59e736b52cd.jpg?1541005763
Oracle of the Alpha,https://cards.scryfall.io/normal/front/0/0/003cb181-7b1d-474a-ba26-84319791bc2b.jpg?1665218675
Duelist's Heritage,https://cards.scryfall.io/normal/front/0/0/003db299-c62b-405e-9833-5ebaef9c8301.jpg?1562385690
"Lazav, Dimir Mastermind",https://cards.scryfall.io/normal/front/0/0/003dc436-a3af-4e65-b4f8-387155fbcb85.jpg?1604194919
Celestial Kirin,https://cards.scryfall.io/normal/front/0/0/003e99a0-2caa-407b-be40-92ec17836eb3.jpg?1562492050
Courage in Crisis,https://cards.scryfall.io/normal/front/0/0/003feb09-600a-46ff-90a2-7606636d6c53.jpg?1689467232
Green Sun's Twilight,https://cards.scryfall.io/normal/front/0/0/00413c66-b7e6-47b2-809a-1d5c9eac1a9e.jpg?1675700495
"Snapdax, Apex of the Hunt",https://cards.scryfall.io/normal/front/0/0/004237f7-1099-4422-9ce9-6065a803e230.jpg?1591310946
Ornithopter,https://cards.scryfall.io/normal/front/0/0/00427d72-b140-45eb-b2ec-2ac2dab16966.jpg?1562588733
"Kamahl, Pit Fighter",https://cards.scryfall.io/normal/front/0/0/00429670-c439-4bd5-bd64-3ac7d352c68e.jpg?1561756567
Saheeli's Directive,https://cards.scryfall.io/normal/front/0/0/0042d67c-2466-4c20-816e-92e476e545cc.jpg?1545872568
Festering Goblin,https://cards.scryfall.io/normal/front/0/0/00444e40-7436-48c3-9cbb-e6d8b96c1a3a.jpg?1562730486
Reality Smasher,https://cards.scryfall.io/normal/front/0/0/00449fad-6b06-40b1-8179-cbc86acec907.jpg?1682693391
Orzhov Advokist,https://cards.scryfall.io/normal/front/0/0/00464232-2594-405a-95bb-f9b2a3287871.jpg?1562385692
Initiate's Companion,https://cards.scryfall.io/normal/front/0/0/0046b802-bc71-44af-8925-666684d5fc87.jpg?1592578758
Tsabo's Assassin,https://cards.scryfall.io/normal/front/0/0/0047302d-4e3d-4327-9bb2-ecd5b00b00e3.jpg?1562895043
Mana Clash,https://cards.scryfall.io/normal/front/0/0/004909d8-b362-44c4-ae6f-96b28546fb72.jpg?1675829357
Darksteel Splicer,https://cards.scryfall.io/normal/front/0/0/004966d8-2e2d-4b6a-938a-10f257179cf8.jpg?1682207872
"Hogaak, Arisen Necropolis",https://cards.scryfall.io/normal/front/0/0/0049e68d-0caf-474f-9523-dad343f1250a.jpg?1687248935
Survival of the Fittest,https://cards.scryfall.io/normal/front/0/0/004a0178-b523-473f-8410-480e6aaec242.jpg?1562895025
Jasmine Boreal,https://cards.scryfall.io/normal/front/0/0/004af467-815a-47c0-a974-1ae49ca3a1a8.jpg?1562770875
Bone Dragon,https://cards.scryfall.io/normal/front/0/0/004b44af-9b27-4689-a6b6-bcd3ad0aca7e.jpg?1562895090
Psychic Venom,https://cards.scryfall.io/normal/front/0/0/004b6463-0aef-4419-b4f2-dc3fa6eee901.jpg?1562588734
A-Falcon Abomination,https://cards.scryfall.io/normal/front/0/0/004c1078-0dea-4885-97b5-497f3f15c8c3.jpg?1681158665
Fire Elemental,https://cards.scryfall.io/normal/front/0/0/004d5c22-415c-4aa8-87f6-a4cf609d1eae.jpg?1557432085
Grizzly Fate,https://cards.scryfall.io/normal/front/0/0/004e1457-d951-4029-8bb6-17a290793e79.jpg?1562895050
Ancient Spring,https://cards.scryfall.io/normal/front/0/0/004eefa4-947b-45fc-b45c-5263bfd763bc.jpg?1562895051
Howlgeist,https://cards.scryfall.io/normal/front/0/0/00502ed1-4364-41cd-b717-1f9e38d1afe6.jpg?1675651589
Sengir Vampire,https://cards.scryfall.io/normal/front/0/0/00508913-ba8c-4985-9547-d74e07e1cc6b.jpg?1597377088
Farewell,https://cards.scryfall.io/normal/front/0/0/0050b693-7bad-4c0c-baca-0186d153ce2e.jpg?1647481727
Digsite Engineer,https://cards.scryfall.io/normal/front/0/0/0050be51-8c4e-4b97-b171-ede5fadfd141.jpg?1625981826
Security Rhox,https://cards.scryfall.io/normal/front/0/0/0050dd40-9a18-41e4-97e6-fce5bf220ccf.jpg?1664413725
Belbe's Armor,https://cards.scryfall.io/normal/front/0/0/0052158b-58d1-4416-a7ce-7c6a7595263c.jpg?1562628387
Slinking Skirge,https://cards.scryfall.io/normal/front/0/0/00522c4b-4e64-4403-96b1-df41afbe255f.jpg?1562443312
Thalakos Lowlands,https://cards.scryfall.io/normal/front/0/0/00536ba7-1865-4895-8314-da8949d261c9.jpg?1562895099
Scoured Barrens,https://cards.scryfall.io/normal/front/0/0/00538414-90f3-41da-b67e-d81cfa643de3.jpg?1654568996
"Shaile, Dean of Radiance // Embrose, Dean of Shadow",
Spined Wurm,https://cards.scryfall.io/normal/front/0/0/0053bd00-90fd-48c2-8f79-952d5d1e3e74.jpg?1562445660
"Cadric, Soul Kindler",https://cards.scryfall.io/normal/front/0/0/00541f77-f1ca-4de5-b080-de2dcdfe17e7.jpg?1686851869
